"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 27-Mar-2023"
"NIFTY 50","22,053.95","22,193.60","22,052.85","22,004.70","22,123.65","118.95","0.54","40,91,36,866","38,830.51","22,526.60","17,204.65","0.01","30.51"
"RELIANCE","2,896.00","3,000.00","2,894.00","2,883.15","2,983.75","100.60","3.49","81,63,322","2,426.29","3,024.90","2,200.20","0.37","32.82"
"MARUTI","12,290.00","12,722.70","12,285.70","12,250.55","12,560.00","309.45","2.53","8,78,986","1,103.86","12,722.70","8,140.00","9.10","52.40"
"BAJAJ-AUTO","8,959.00","9,287.80","8,926.70","8,960.55","9,154.00","193.45","2.16","10,34,030","947.16","9,287.80","3,769.55","8.46","141.65"
"BAJFINANCE","6,945.75","7,049.00","6,905.00","6,910.10","7,029.00","118.90","1.72","15,51,275","1,083.88","8,192.00","5,522.70","5.71","26.89"
"TITAN","3,699.00","3,784.90","3,692.80","3,698.20","3,758.00","59.80","1.62","13,15,714","492.14","3,886.95","2,466.80","3.78","50.36"
"ADANIPORTS","1,315.00","1,343.00","1,312.10","1,304.20","1,324.90","20.70","1.59","49,38,400","657.60","1,356.55","571.55","-1.15","122.92"
"HDFCBANK","1,423.55","1,447.95","1,421.25","1,425.40","1,443.65","18.25","1.28","3,10,84,334","4,464.52","1,757.50","1,363.55","1.29","-8.83"
"KOTAKBANK","1,758.00","1,779.80","1,753.90","1,753.70","1,774.95","21.25","1.21","82,31,130","1,458.71","2,064.40","1,667.40","4.06","4.51"
"AXISBANK","1,045.80","1,057.55","1,044.25","1,040.55","1,052.00","11.45","1.10","1,70,27,308","1,788.40","1,151.85","826.05","-2.98","26.48"
"M&M","1,869.90","1,899.90","1,855.30","1,863.95","1,884.00","20.05","1.08","41,96,597","787.58","1,982.30","1,123.40","-2.52","66.72"
"INDUSINDBK","1,519.00","1,542.95","1,514.45","1,518.70","1,534.00","15.30","1.01","84,08,702","1,285.90","1,694.50","1,004.00","4.57","48.00"
"BHARTIARTL","1,210.55","1,228.25","1,210.55","1,213.10","1,224.95","11.85","0.98","57,79,169","705.57","1,245.00","738.85","10.34","63.64"
"LT","3,683.00","3,727.20","3,670.10","3,670.10","3,704.00","33.90","0.92","23,87,693","885.24","3,737.90","2,121.00","6.81","73.72"
"SUNPHARMA","1,602.00","1,626.15","1,592.10","1,598.10","1,608.45","10.35","0.65","25,30,169","406.82","1,627.00","922.45","3.03","62.99"
"ASIANPAINT","2,817.95","2,842.85","2,817.70","2,814.65","2,830.00","15.35","0.55","11,56,231","327.38","3,568.00","2,708.65","-1.32","1.65"
"ADANIENT","3,115.00","3,138.45","3,106.25","3,109.95","3,124.25","14.30","0.46","9,00,231","281.13","3,350.00","1,573.00","-6.18","95.03"
"ULTRACEMCO","9,630.00","9,708.00","9,571.05","9,600.70","9,633.50","32.80","0.34","2,67,937","258.58","10,526.00","7,300.00","-3.09","29.99"
"NTPC","332.00","334.10","326.30","329.10","329.80","0.70","0.21","4,52,09,520","1,497.97","359.95","166.80","-1.78","92.79"
"ITC","427.00","428.90","426.45","427.65","428.40","0.75","0.18","1,22,27,545","523.27","499.70","376.35","4.59","12.71"
"TATASTEEL","152.45","154.10","152.00","152.40","152.60","0.20","0.13","3,53,28,794","540.67","159.15","101.65","7.05","48.98"
"ICICIBANK","1,083.70","1,092.50","1,079.55","1,083.70","1,085.00","1.30","0.12","2,69,07,245","2,920.19","1,113.55","844.05","2.80","26.79"
